version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
v0,codex,baseline,v0+pf0c107a9d7a1+t011c271ef0bb,f0c107a9d7a14032c948d642d7c36f2a85cb6d69a099530093a874c94d472446,011c271ef0bbad1e19a5d7b660b2ed481b7d72950f1faa8a0798c3bdd8784ee1,Initial baseline with intentionally vague prompt/tool declarations,Measure current routing and argument failures before changes,,case_accuracy=0.60,runs/v0_B_base_gemini_20260602T144003498658.json
v1,codex,system_prompt.md;tools.yaml,v1+p070a720429c8+tacc94c51d020,070a720429c853548523385c5b74b4b6b794e021dc691e8ab94e3fb58c8dfa43,acc94c51d0208cf146af606498c948c093dfd6f16b722d98ceefb5b5e90b3528,Replace guessing/send-immediately behavior with explicit routing missing-info and publish-boundary rules,Clear tool descriptions and prompt rules should reduce wrong_tool missing_info and wrong_boundary errors,case_accuracy=0.60,case_accuracy=0.85,runs/v1_B_base_gemini_20260602T145712013136.json
v2,codex,system_prompt.md;tools.yaml,v2+p2630aa962a93+t8f410a7540e1,2630aa962a937eec7264fcdace4b70041a6753ffffcaba8b369a1a9b4a998e1a,8f410a7540e1e24272fd02ba8764bd16d4d9681743a830b702c0108ce1f757af,Make clarify response_type required and explicitly ask for it in prompt,Forcing response_type should fix clarify argument mismatches,case_accuracy=0.85,case_accuracy=0.95,runs/v2_B_base_gemini_20260602T145930465665.json
v3,codex,system_prompt.md;tools.yaml,v3+pfece13be2df9+t21f2e9f54671,fece13be2df93bec636743cf44534b14b31d8c3747153edc379ac1243ecd939e,21f2e9f5467180861bb46b1a9849516e5c412d388d8c0bc7f8163fc3830a2f5c,Clarify Vietnamese Telegram publish confirmation boundary,Explicit Vietnamese action phrases should force clarify response_type=yes_no before send/content questions,case_accuracy=0.95,case_accuracy=1.00,runs/v3_B_base_gemini_20260602T160835152753.json
v4,team4,system_prompt.md;tools.yaml;tools/__init__.py;tools/pdf_download,v4+p5e06ead63cf1+t64f1c65a443e,5e06ead63cf1625f016550256fa04198e6c1932e2f9691d5d083f67f07010401,64f1c65a443e4347e2162b6a14fa3b53ce618ab8c580690441a0edd075a8e286,Merge quocanh pdf_download tool with vinhpn90 UI and Gemini routing,New pdf_download tool should be available while preserving base eval routing accuracy,case_accuracy=1.00,case_accuracy=1.00,runs/v4_B_base_gemini_20260602T163110848785.json
v5,team4,system_prompt.md;tools.yaml;tools/wikipedia;tools/github_search;tools/crypto_price;tools/youtube_search,v5+p1edbf8ef5cf5+t64f1c65a443e,1edbf8ef5cf50b6cb85150f31faade518e708b7ad49a1098468cada67f0220c1,64f1c65a443e4347e2162b6a14fa3b53ce618ab8c580690441a0edd075a8e286,Refine strict scope boundary and add 4 new research extension tools,Strict scope boundary forces correct direct out-of-scope refusal while the 4 new tools are fully functional with offline fallbacks,case_accuracy=1.00,case_accuracy=1.00,runs/v5_B_base_gemini_20260602T171921679722.json
v6,team4,artifacts/system_prompt.md,v6+pdf73f114b1bf+t6cdb53d5d7b8,df73f114b1bf92584403ee37d1e9ae90ea2208f41a30464a16dd7780573d8e27,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Fix weak baseline routing and missing-info behavior,Prompt should stop guessing missing info enforce research boundaries and require confirmation before sending,baseline_not_recorded,passed=19/20;case_accuracy=0.95;tool_routing_accuracy=1.0;argument_accuracy=0.95,runs/v1_B_base_openrouter_20260602T145056996196.json
v7,team4,artifacts/tools.yaml,v7+pdf73f114b1bf+t81b9664cc25b,df73f114b1bf92584403ee37d1e9ae90ea2208f41a30464a16dd7780573d8e27,81b9664cc25bdf6c7d9d51b6cb9b54395c9b260da9b859d7e552e0a025aaad2d,Fix remaining Telegram confirmation argument failure,Clear clarify and send tool descriptions should force response_type yes_no before send actions,passed=19/20;case_accuracy=0.95,passed=20/20;case_accuracy=1.0;tool_routing_accuracy=1.0;argument_accuracy=1.0,runs/v2_B_base_openrouter_20260602T150054643480.json
v8,team4,artifacts/tools.yaml,v8+pdf73f114b1bf+te7ff128004d2,df73f114b1bf92584403ee37d1e9ae90ea2208f41a30464a16dd7780573d8e27,e7ff128004d23b30ff2c385bcaa199bf96186514c5f65ab1a4e1463e16ba3093,Clarify routing boundaries for core research tools,More explicit timeline social lookup and fetch descriptions should preserve perfect routing while making tool choice easier,passed=20/20;case_accuracy=1.0,passed=20/20;case_accuracy=1.0;tool_routing_accuracy=1.0;argument_accuracy=1.0,runs/v3_B_base_openrouter_20260602T150302018376.json
v9,team4,artifacts/tools.yaml,v9+pdf73f114b1bf+t739fff95311f,df73f114b1bf92584403ee37d1e9ae90ea2208f41a30464a16dd7780573d8e27,739fff95311f5ee5801a0cfaa1e8b846eb9e5928037b9a6009ce78728651b2b0,Added pdf_download tool with arXiv optimization and fallback,New tool should enable PDF downloads from any URL with smart arXiv handling and error recovery,not_measured_yet,not_measured_yet,not_run_yet
